last_location,average_delay,occ
"Totu, Shimla, HIMACHAL PRADESH",7.0000,0
"Umaria, Umaria, MADHYA PRADESH",7.0000,0
"VELLORE TN, Vellore, TAMIL NADU",7.0000,0
"Yavatmal, Yavatmal, MAHARASHTRA",7.0000,0
"MAA/PC1, Chennai, TAMIL NADU",7.0000,0
"Zirapur, Zirapur, MADHYA PRADESH",7.0000,0
"SHIVAMOGGA, SHIVAMOGGA, KARNATAKA",7.0000,0
"NBM/NBM, Navi Mumbai, MAHARASHTRA",7.0000,0
"TRL/SA-TNR, Tiruvallur, TAMIL NADU",7.0000,0
"TPT/MRPL, Tirupati, ANDHRA PRADESH",7.0000,0
"VIJ/STPM, Vijayawada, ANDHRA PRADESH",7.0000,0
"Sardarshahar, Sardarshahar, RAJASTHAN",7.0000,0
"Vijaypur, Vijaypur, JAMMU AND KASHMIR",7.0000,0
"TUTICORIN/WEST-TML, Tuticorin, TAMIL NADU",7.0000,0
"PEENYA E-TAIL",6.8889,0
PRAYAGRAJ,6.8750,0
"THALTEJ ETAIL OFFICE",6.8571,0
ZIRAKHPUR,6.8000,0
"COTTON GREEN",6.8000,0
"BIAL HUB",6.7500,0
"TRANSPORT NAGAR",6.7500,0
"VZG AIR HUB",6.6667,0
"TRICHUR MINI HUB",6.5833,0
"PONDICHERRY MINI HUB",6.5714,0
Trivandrum,6.5000,0
"MORADABAD HUB",6.5000,0
"Tiruvallur, Tiruvallur, TAMIL NADU",6.5000,0
"TRICHY HUB",6.3636,0
"NEW TOWN",6.3333,0
"PURNEA OFFICE",6.3333,0
"PATNA ETAIL PUD",6.3333,0
"NOIDA E-TAIL CENTRE",6.3333,0
PATIALA,6.2857,0
"Noida, Uttar Pradesh, IN",6.2857,0
DNGR,6.2000,0
JLND,6.0000,0
KADM,6.0000,0
KHND,6.0000,0
MEER,6.0000,0
POND,6.0000,0
SLTE,6.0000,0
VAPM,6.0000,0
VRNS,6.0000,0
Zira,6.0000,0
KATRA,6.0000,0
MANSA,6.0000,0
ROPAR,6.0000,0
SIURI,6.0000,0
Velda,6.0000,0
fkl_soukyaRD,6.0000,0
"PATALGANGA HUB",6.0000,0
MANALI,6.0000,0
MUMBRA,6.0000,0
Virajpet,6.0000,0
"TIRUPATI OFFICE",6.0000,0
Nangal,6.0000,0
REWARI,6.0000,0
SAMPLA,6.0000,0
TANUKU,6.0000,0
Trichy,6.0000,0
WARDHA,6.0000,0
Yadgir,6.0000,0
MULLANA,6.0000,0
PHALODI,6.0000,0
PURULIA,6.0000,0
RANIPET,6.0000,0
TEHATTA,6.0000,0
VYTTILA,6.0000,0
